,ID,proposition1,proposition2,label,prep_needed,contradiction type
392,QT30_392,these sectors are worth a lot to our economy,we have seen hundreds of thousands of pounds worth of tomatoes wasted,1.0,0.0,WK
394,QT30_394,Prince Andrew denies the accusation,"Virginia Giuffre's accusation to Prince Andrew was of sexually assaulting her three times in the States when she was underage there, which was 17",1.0,1.0,lexical
402,QT30_402,there was no plan for Brexit,they have had 5 years to prepare for Brexit,1.0,1.0,WK
403,QT30_403,we're trying to employ people to come from abroad,from a seasonal worker prospective you wouldn't come abroad with temporary restrictions such as you can stay here for 2 months and help us out,1.0,0.0,factive
404,QT30_404,we don't want seasonal workers after 2 months,we're trying to employ people to come from abroad,1.0,1.0,negation
406,QT30_406,it is hard to see how the Prince Andrew situation will be resolved,the Prince Andrew situation really needs resolving and resolving as soon as possible,1.0,1.0,structural
410,QT30_410,Tim Stanley doesn't know why they number 10 doesn't answer the question,the only reason why number 10 doesn't answer the question is because the answer is embarassing,1.0,1.0,negation
411,QT30_411,in another sense we don't,we expect a certain amount of moral standing with politicians in one sense,1.0,1.0,negation
412,QT30_412,AudienceMember20210916QT06 is not aware of all the backhanders that go on,it's a strange situation because we know that there are back-handers going on,1.0,0.0,negation
414,QT30_414,what Grant Shapps is doing is not working,Grant Shapps has mentioned quite a few initiatives what they're doing,1.0,1.0,factive
415,QT30_415,"you hear people say, well, so what to Grant Shapp",Grant Shapp has certainly has listed a whole load of initiatives,1.0,1.0,lexical
416,QT30_416,our deliveries are going down at exactly the wrong time when they need to go up,we are stock building now for Christmas,1.0,0.0,lexical
417,QT30_417,Europe is of course a bigger pool to fish HGV drivers from,Europe has its own issues with HGV drivers,1.0,1.0,factive
420,QT30_420,AudienceMember 20210930QT13 is really concerned that the government seem to be making HGV licences easier to get,AudienceMember 20210930QT13 understands that the government need to recruit more HGV drivers,1.0,1.0,structural
421,QT30_421,Grant Shapps does not rule out anything,giving low skilled worker visas to the HGV drivers is not actually the solution,1.0,1.0,negation
422,QT30_422,the main problem though is the tests couldn't be run because of coronavirus,Grant Shapps opened up tests,1.0,0.0,factive
423,QT30_423,"no, test availability is a thing which we're improving",we now can't get any tests until December in the south of England,1.0,1.0,factive
424,QT30_424,the Conservative party knows that immigration will need to go up if we're to deal with shortage problems,the Conservative Party promised that immigration would come down,1.0,1.0,structural
425,QT30_425,the flipside of worker shortages is that wages are going up,there are lots of problems with worker shortages,1.0,1.0,lexical
429,QT30_429,the public are clearly not supporting the protest,the whole point of protest is to command the support of the public,1.0,1.0,negation
431,QT30_431,"the more restrictions you put on people's rights to protest, the more of a sort of state we're becoming where if you want to speak out, if you want to make your feelings heard",blocking a road is not the right way to go about things,1.0,0.0,lexical
444,QT30_444,Kate Andrews does not think it's fair to say that any rational person thinks that we should just adopt their policies overnight,we might applaud the protestors' end goal,1.0,1.0,lexical
445,QT30_445,police already having the powers was evidently not the case,both the other politicians on the Question Time panel have mentioned the police already having the powers,1.0,1.0,factive
446,QT30_446,neither of the politicians on the Question time panel are supporting the Police and Crime Bill,supporting the Police and Crime Bill would actually help folks,1.0,1.0,structural
447,QT30_447,despite the change in guidance GPs just carried on doing it remotely anyway,NHS England changed their guidance in May,1.0,0.0,factive
448,QT30_448,seeing GPs face to face is not going to solve the problem,it's important that people can see their GP face to face,1.0,1.0,negation
449,QT30_449,having to consult with your GP via phone is wrong when people are saying that you are supposed to be able to see the GP face to face,consultations with the one GP in our practice all have to be done via the phone,1.0,1.0,structural
450,QT30_450,that we can now use remote contact with GPs to get a new prescription or deal with something very small isn't really the point here,it's great that now we can use remote contact with GPs to get a new prescription or deal with something very small,1.0,1.0,negation
451,QT30_451,we have fewer GPs now than we had in 2015,the Conservative government has had at least two go's at recruiting more GPs,1.0,1.0,structural
452,QT30_452,the UK Government need to get on with both the COVID-19 crisis and the question of Boris Johnson's extension,the UK Government should be getting on with the COVID-19 crisis or we are distracted,1.0,1.0,structural
453,QT30_453,the fire safety bill that has gone through today is the starting point,the fire safety bill the Government has managed to get through today is not helping AudienceMember 20210916QT12,1.0,1.0,structural
455,QT30_455,it should predominantly be the planning departments and safety departments that pass these fire safety bills off,it should predominantly be the contractors who are left with the fire safety bill,1.0,1.0,lexical
458,QT30_458,we believe the real answer lies in not fighting about the pieces of the vaccine pie,there's a debate about excess vaccine stock in the UK,1.0,0.0,lexical
460,QT30_460,"the substantial difference is going to be made when we allow other manufacturers, countries, to safely manufacturer these vaccines",the UK Government should send vaccines abroad and ease the intellectual property rules around who owns this vaccine technology,1.0,1.0,structural
462,QT30_462,there could be a vaccine we could use for India,Anne-Marie Trevelyan doesn't know if there's a vaccine that we could use for India,1.0,1.0,negation
463,QT30_463,we do need to do a lot more,John Ashworth is pleased that the Government have done something,1.0,1.0,lexical
464,QT30_464,the UK have to help India to protect thousands upon thousands of people dying every day in India,we are trying to convince ourselves as a nation that we have to not help India to protect ourselves,1.0,0.0,structural
465,QT30_465,"Danny Sriskandarajah generally trusts our carers, our health system to try to judge that you know, the clinical needs and the risks with the patient care, and the family interests",having people in care and not being able to see them is awful,1.0,1.0,lexical
466,QT30_466,we have to trust that our carers and our health system  are making the decisions in the best interests of people in their care,having people in care and not being able to see them is difficult,1.0,1.0,lexical
468,QT30_468,those decisions were flawed in that there was no real understanding of the complexity of what then had to come next,there was a real need to degrade the capability of Al-Qaeda,1.0,1.0,lexical
469,QT30_469,Afghanistan was not the good war as it had its own share of lies,we were always told that Afghanistan was the good war,1.0,1.0,factive
471,QT30_471,Mehdi Hasan finds the Home Office's official guidance saying Afghan asylum seekers could be returned to Kabul safely absurd,up until Monday morning the Home Office's official guidance said Afghan asylum seekers could be returned to Kabul safely,1.0,1.0,structural
472,QT30_472,don't pause the Home Office,the Home Office said they're on a pause,1.0,1.0,negation
473,QT30_473,Mehdi Hasan is not denying things haven't improved in many areas over 20 years,Rory Stewart made a dig about Mehdi Hasan not thinking things in Afghanistan haven't improved,1.0,1.0,structural
475,QT30_475,"guess who is in charge of Afghanistan today, even more powerful and involved than before","yes, the Taliban was toppled",1.0,1.0,WK
477,QT30_477,it was brilliant,it was a disaster,1.0,0.0,antonymy
479,QT30_479,"today, whether you want to do it via Qatar, or via the UAE, you have to directly or indirectly engage with the Taliban","ten days ago, the idea of talking to the Taliban was utterly unimaginable",1.0,1.0,lexical
481,QT30_481,Thangam Debbonaire disputes that the government were right,the government were right,1.0,1.0,negation
482,QT30_482,they knew they had to get the licences in January,they are complaining they haven't got their licences,1.0,0.0,lexical
483,QT30_483,the public of both countries would like both leaders to be grown up,Boris Johnson trying to be Churchill is childish,1.0,1.0,antonymy
484,QT30_484,we don't make process by picking juvenile fights not just with one country but with the entirety of the European Union,we are going to make progress,1.0,1.0,negation
485,QT30_485,Labour losing Hartlepool isn't really a shock to John Bercow,"yes, Labour losing Hartlepool is a shock",1.0,1.0,negation
486,QT30_486,Brexit is the most colossal foreign Policy blunder in the post-war period,in December 2019 people said they wanted to get Brexit done,1.0,1.0,WK
487,QT30_487,the case is absolutely not academic for the 3 million people who work in hospitality,"after an unexplained two-week delay from the court, the judgment was that the case was academic",1.0,1.0,negation
488,QT30_488,the next day opening up in England is 17 May,the government said it would be driven by data not dates,1.0,0.0,lexical
489,QT30_489,that's what we are seeing and in effect there is a border down the Irish Sea,the Prime Minister said that the Northern Ireland protocol was ingenious and would not result in checks or barriers or border,1.0,0.0,factive
490,QT30_490,that is not reasonable,they probably have the legal right to open every packet and inspect every sausage,1.0,1.0,lexical
491,QT30_491,that is not necessary,they probably have the legal right to open every packet and inspect every sausage,1.0,1.0,lexical
492,QT30_492,Gillian Keegan didn't say that we didn't understand what we were signing,we didn't understand what we were signing,1.0,1.0,negation
494,QT30_494,the un-safety and the potential balance of trade issues with regards to sausages and meat are deliberately at a different level which is something I found interesting when I started to work in politics as opposed to business,"it's neither true that the sausages and meat are unsafe, or that they will upset the balance of trade",1.0,1.0,structural
496,QT30_496,"no, everything the UK Government does is not correct",everything the UK Government does is correct,1.0,1.0,negation
498,QT30_498,you might not be racist whatsoever if you disagree with taking the knee,if you disagree with taking the knee you're seen to be racist,1.0,1.0,negation
499,QT30_499,AudienceMember 20210805QT26 thinks taking the knee is starting to reduce the effect it had in the first place,AudienceMember 20210805QT26 understands why people take the knee,1.0,1.0,lexical
501,QT30_501,AudienceMember 20210805QT28 is not sure we should be replicating,we are re-enacting the situation that George found himself at the end of his life,1.0,0.0,negation
502,QT30_502,it's not been severed,"for those who are vaccinated, the link between hospitalisations and deaths has been reduced",1.0,0.0,lexical
508,QT30_508,"the disease is going to teenagers, and it will go round",the vaccination programme has really done a fantastic job in reducing deaths,1.0,0.0,lexical
511,QT30_511,we can't afford to take the chance on foreign holidays either way,Victor Adebowale knows people want to get off,1.0,0.0,negation
512,QT30_512,the new crime bill the Government has announced is pointless,the Government has announced a new crime bill and included tougher sentencing for rape convictions,1.0,1.0,negation
513,QT30_513,"there's no deterrent there if it's a 2, 3, 4% of cases",the new crime bill the Government has announced is a deterrent,1.0,1.0,negation
516,QT30_516,rape remains one of the most heinous crimes,it's hyper bolly to say rape has been decriminalised,1.0,1.0,antonymy
517,QT30_517,slipping into the notion that food banks as part of the landscape is not a good idea,we have slipped into the notion that food banks are part of the landscape now,1.0,1.0,structural
519,QT30_519,the target does matter,it's target isn't ambitious or it is a long way off,1.0,0.0,lexical
521,QT30_521,looking after women and gendered violence has not been done,it was made a priority to look after women and gendered violence,1.0,1.0,negation
523,QT30_523,what we don't want to do is see women targeted here on the streets of the UK,we know they're under high likelihood of being targeted for reprisals,1.0,1.0,WK
530,QT30_530,there are 18 million adults in the country that's going to take more weeks,35 million have had their first jab,1.0,0.0,numeric
531,QT30_531,a full public inquiry there should be,"therefore John Bercow, can well understand why Robert Jenrick is fighting shy of a full public inquiry",1.0,0.0,structural
534,QT30_534,the data is looking really positive and Kate Andrews thinks we should be quite cheerful about that,the idea of the NHS being overwhelmed is deeply frightening,1.0,1.0,antonymy
535,QT30_535,we do need to do a lot more than just ban junk food ads after 9,there's evidence that banning junk food ads before 9pm will stop us eating what we want,1.0,1.0,lexical
537,QT30_537,Caroline Lucas is sure of how Paul Scully will vote in the Owen Paterson situation,Caroline Lucas is not sure what Paul Scully will think of the situation with Owen Paterson,1.0,1.0,negation
538,QT30_538,now we're having to close stores,"we haven't closed a single store, we haven't missed a single delivery",1.0,1.0,negation
539,QT30_539,it evidently did not drive enough,at that time of the terrible appalling murder of Stephen Lawrence it drove many establishment changes,1.0,1.0,negation
540,QT30_540,we still must be careful,we have to go forward,1.0,0.0,lexical
542,QT30_542,Philip Unknown is pretty sure it is a conversation that now will be had in his lifetime,it is a conversation that Philip Unknown honestly never thought would needed to be had in his lifetime,1.0,1.0,structural
543,QT30_543,"Louise Haigh thinks a lot of people in Northern Ireland would feel that they are treated as an afterthought in Westminster at times and, at worst, a political football",huge debates about the future of Northern Ireland have been had in Westminster,1.0,1.0,lexical
546,QT30_546,the problem is Matt Hancock taking the vaccine to encourage others would be putting Matt Hancock ahead of the queue in terms of clinical need,Matt Hancock would be happy to take the vaccine to encourage others,1.0,1.0,structural
547,QT30_547,the audience is not unanimous in raising their hands if they think that Matt Hancock should be one of the first to take the vaccine,quite a lot of the audience has raised their hand,1.0,1.0,structural
549,QT30_549,in a sense Rosie Jones is the obvious person to ask if we are now treating people with more respect and equality,Fiona Bruce is not trying to pigeon-hole Rosie Jones here,1.0,1.0,lexical
551,QT30_551,disabled people are not overlooked,Rosie Jones was going to say that disabled people are overlooked,1.0,1.0,negation
553,QT30_553,what’s important is we get to the right answer,the language of U-turns and all of these kind of brick bats that we throw at politicians often means that we just don’t get to the right answer,1.0,0.0,negation
554,QT30_554,it shouldn’t take a brave young footballer to shame the government into action,the campaign that Marcus Rashford led was really inspirational,1.0,0.0,WK
555,QT30_555,"we need to be testing, tracing and isolating every single case to keep people safe","Munira Wilson's first concern is, the test and trace system clearly isn’t up and running properly",1.0,0.0,negation
556,QT30_556,Matt Hancook and Baroness Harding have always insisted until this point that they were only going to pursue the NHS app,Matt Hancock and Baroness Harding said today that they have backed both horses of the Google and the android model and the NHS app,1.0,0.0,structural
557,QT30_557,"the government has chosen to centralise and use a private company, Cerco, to take the lead on the public health infrastructure",it’s about having a functioning public health infrastructure that is able to deal with local outbreaks locally,1.0,0.0,WK
558,QT30_558,when it comes to reality they might cover up and not pretend that they’ve done anything wrong,the government are trying to make it seem that they’re trying to do the best job possible,1.0,0.0,antonymy
559,QT30_559,"towards the end of the shoot that got curtailed, we had another outbreak and Jed Mercurio was quite surprised to learn that we weren’t able to do testing and tracing, that the system had been stopped","we had an outbreak during the shoot over in Belfast when there was the test and trace system originally, the containment phase, and we were able to deal with that and we were able to carry on uninterrupted",1.0,0.0,structural
560,QT30_560,people who live in the UK are not made to feel like it is their country,people have got to be made to feel like the UK is their country,1.0,1.0,negation
561,QT30_561,it's hard to trust politicians at the best of times,the idea that we need complete honesty and complete trust,1.0,0.0,factive
562,QT30_562,we need real trust and honesty in our politics,it's hard to trust politicians at the best of times,1.0,1.0,factive
564,QT30_564,"sadly, optimism doesn't heat our homes",optimism could heat our homes,1.0,1.0,negation
566,QT30_566,"the majority of the population unfortunately would probably assume that in some way or another, politicians are there not only to represent themselves, but, and you know, the population, but also to go that little bit too far you know",AudienceMember 20210916QT07 doesn't expect politicians to behave badly,1.0,1.0,lexical
567,QT30_567,inspecting every British sausage that travels across the Irish Sea is an abuse of EU's legal right,EU has the legal right to inspect every great British banger that travels across the Irish Sea,1.0,1.0,negation
569,QT30_569,we need to put more vaccination investment into the longer tail of the UK population,people are not getting the vaccine because of accessibility,1.0,1.0,lexical
570,QT30_570,Robert Jenwick thinks fans absolutely should have more power,Robert Jenwick thinks that the government acting swiftly to the football pitch invasions was absolutely right,1.0,1.0,WK
571,QT50_000,making up the rules as they go along is what we have seen from this Prime Minister,Thangam Debonnaire does not think anyone should be allowed to make up the rules as they go along,1.0,1.0,factive
573,QT50_002,we followed the guidance,My parents both had COVID,1.0,0.0,WK
575,QT50_004,all we are getting is Peppa Pig and spin,we can't just spin when people's lives are at stake,1.0,1.0,factive
579,QT50_008,a Christmas party is ensuring that Christmas lunches with small numbers of people that we have in hospitality settings can continue,"a Christmas party is a gathering, as people said, a large number of people, no masks on",1.0,1.0,antonymy
580,QT50_009,furlough was costing businesses money in the latter stages,furlough was a really good thing,1.0,1.0,negation
581,QT50_010,the government haven't brought anybody in yet,"the government have been promising to bring 20,000 Afghanistan refugees to the UK, 5,000 this year",1.0,0.0,factive
582,QT50_011,we can't afford to have the economy shut down because everybody is sick,"it is not a simple case of if we shut things down, the economy suffers",1.0,0.0,negation
583,QT50_012,so far the government have only sent million vaccines abroad,the government said they were going to get 30 million vaccines sent abroad,1.0,1.0,numeric
584,QT50_013,we are talking about another virus,every year Great Britain has the flu programme,1.0,1.0,WK
586,QT50_015,getting to Europe is not at all a save crossing,people are thinking that getting to Europe is a safe crossing,1.0,1.0,structural
587,QT50_016,the government has not kept VAT at 5 percent,the Liberal Democrats have asked for VAT to be kept at 5 percent until April,1.0,1.0,negation
589,QT50_018,the public could actually take a greater role globally in how we can support people in need,we seem to think that the government is responsible for solving all of these issues,1.0,0.0,lexical
590,QT50_019,it is about time that we looked at things in a very different way,"we all look on those in need in sadness, at these events from the comfort of our own homes",1.0,1.0,lexical
591,QT50_020,it is important that Labour and Conservatives have strong opposition in other ways,it has been really important that Labour and Conservatives work together,1.0,1.0,WK
595,QT50_024,Thangam Debonnaire was able to push the then actual Secretary of State for housing to make a commitment to 3.5 billion for cladding removal,as shadow housing secretary it was hard to get the government to acknowledge the damage done on cladding,1.0,0.0,structural
598,QT50_027,we don't know that the prices will become more normal yet,"hopefully, this is a shock to the system for a relatively short period before the gas prices come down to something that's more normal",1.0,1.0,lexical
599,QT50_028,"now in A&E, when Rosena Allin-Khan is doing her shifts, she is seeing the elderly coming in with electric burns from the same sort of heater",time with the electric heaters was a time of the past,1.0,1.0,WK
600,QT50_029,"the Government gives us 200 pounds which, and this is the small print, we have to pay back so you might call the Government's strategy of dealing with the problem which has been exacerbated by Government as socialism with a miserly face where the Government takes your money, gives it back to you then asks you to return it",the Government's proposal to support us during this at a time in which the average bill will rise by 700 pounds is to give 150 pounds back via Council tax is good,1.0,1.0,numeric
602,QT50_031,reverse ferret in front of those very staff who have built their trust is not the way to do this,the Government has to reverse ferret in front of those very staff who have built their trust,1.0,1.0,negation
603,QT50_032,"the money is not the Goverment's, it's yours",the Labor philosophy is a philosophy which sees Government money as the Government's,1.0,1.0,lexical
604,QT50_033,green levies are not 20%,green levies are 12.5%,1.0,0.0,numeric
605,QT50_034,Robin Shattock is talking about the data from more than just The Yellow Card,the data Robin Shattock is talking about is The Yellow Card reporting scheme,1.0,1.0,lexical
606,QT50_035,AudienceMember 20220210QT22 is going through their notes finding all sorts of other things,Robin Shattock has given AudienceMember 20220210QT22 the information,1.0,1.0,lexical
607,QT50_036,Tim Stanley has to consider the dignity of the individual and their right to refuse something to be done to them,these are sound moral questions that imply that taking the vaccine is the altruistic thing to do,1.0,1.0,WK
608,QT50_037,AudienceMember 20220210QT26 worried they might be sicker than they have been,AudienceMember 20220210QT26 never worried they would end up in hospital,1.0,1.0,negation
610,QT50_039,not wanting to air the questions on people's decision not to get the vaccination treats people like children,there are some people that think these questions on people's decision to not get the vaccination shouldn't be aired,1.0,1.0,negation
613,QT50_042,it's all truth what Boris Johnson is telling us,"Boris Johnson may be drip, drip, dripping",1.0,1.0,lexical
614,QT50_043,integrity in public life is plainly important,one shouldn't have to say integrity is important in public life,1.0,1.0,factive
617,QT50_046,a lot of people would have have followed the rules,a few people hadn't followed the rules earlier,1.0,1.0,negation
618,QT50_047,behind each individual number there is a personal tragedy for both the individuals concerned but also their relatives and families,we can talk about numbers,1.0,0.0,structural
622,QT50_051,it was not appropriate to lockdown at the point Italy and France did,we were roughly 2 to 3 weeks behind countries like Italy and France,1.0,1.0,WK
626,QT50_055,more lately it seems it's been admitted that it was because of the lack of capacity,when the Government stopped community testing on the 12th of March it was originally said that it was a policy decision,1.0,1.0,lexical
629,QT50_058,AudienceMember 20220224QT02 agrees with some of the points made,AudienceMember 20220224QT02 feels just disappointed about the responses heard to the Covid situation.,1.0,1.0,lexical
630,QT50_059,as soon as you develop symptoms of Coronavirus you have to have that data on a database,Afua Hirsch's understanding is once you sign up to the app there is not a lot of data,1.0,1.0,negation
633,QT50_062,if family member's of those contacted by track and trace don't show symptoms it is a different matter,they should self-isolate as well,1.0,1.0,WK
634,QT50_063,to be a success it is essential that the authorities have access to our personal data,"one of the major issues that concerns many viewers that will download the mobile app is our reluctance for the government to access our private data and all the privacy issues of using such data for track, trace and quarantine",1.0,0.0,lexical
636,QT50_065,we need to be assured a process has been undergone before we get to the stage of being able to have information about that,the lack of data protection may be a price worth paying,1.0,1.0,WK
637,QT50_066,Afua Hirsch has not seen any conversation about which liberties we are giving away happen yet,"when we are giving away all of our liberties, including privacy, we have to be informed about what we are giving away and getting in return",1.0,1.0,structural
640,QT50_069,on the whole the Welsh government has tried to take a four nations approach,there have been moments in the crisis where Wales have taken slightly different decisions,1.0,1.0,factive
641,QT50_070,we need those assurances that we will be kept safe,"Afua Hirsch is as keen as everyone else to be able to get back to some semblance of normality, for her daughter to return to school",1.0,1.0,lexical
642,QT50_071,assurances are not crystal clear,assurances need to be binding,1.0,1.0,antonymy
645,QT50_074,"when this comes to ambulance workers, community trust workers, hospital workers Chris Hopson is obviously here as the face of that",Chris Hopson is talking about the people in his office,1.0,1.0,WK
648,QT50_077,Konstantin Kisin feels nothing but shame for Russia and what it is doing,Konstantin Kisin is proud to be Russian,1.0,1.0,antonymy
650,QT50_079,"inside Russia, and inside Moscow, people close to him, not everyone may think invading Ukraine is a good idea",they're lining up behind the Russian president,1.0,0.0,WK
651,QT50_080,Putin chose to build up his arms and he chose to invade,"Putin has had many opportunities to negotiate, bilaterally, multi-laterally",1.0,1.0,lexical
652,QT50_081,"a humanitarian corridor would be in Mr Putin's interests and clearly, it would be in the Ukrainian president's interest to try and get all those vulnerable people out who would like to leave, who are desperate to leave",the Russians may say this is too risky and they'll bring arms in and a humanitarian corridor may fall away,1.0,0.0,WK
657,QT50_086,there needs to be significantly more movement in terms of sanctions,Kirsten Oswald knows there has been significant movement in terms of sanctions,1.0,1.0,structural
658,QT50_087,Bridget Kendall still feels that there is a lot of things that can be done by Russians inside Russia or even Russians outside Russia to put pressure and to call out this regime,"when you get a level of fear, where people are even scared to talk to each other as happened at some points in the Soviet era",1.0,0.0,WK
659,QT50_088,people in Russia can't play party politics,there are people in Russia who would love to play party politics,1.0,1.0,negation
660,QT50_089,the EU is sanctioning these oligarchs,we have this absurd situation now where Boris Johnson said he's leading the world in targeting these people,1.0,1.0,WK
663,QT50_092,we repeatedly debate lifting visa requirements for refugees,we should not be debating lifting Visa requirements for refugees from Ukraine,1.0,1.0,negation
664,QT50_093,"in a crisis now, the Government can't find some way of getting a VIP hot line for the people who actually want to come to the UK and get protection and during an emergency in their time of need","during the middle of the pandemic, in a heartbeat, a VIP hot line was set up for the Government's mates to get contracts out",1.0,1.0,negation
669,QT50_098,the dispossessed Ukrainians would prefer to stay in Poland,"you estimated 200,000 people coming to this country",1.0,1.0,factive
673,QT50_102,"right now we don't have any of those three things, energy that is affordable, that is reliable and that is secure","crucially, more than anything else, we need energy that is affordable, that is reliable and that is secure",1.0,1.0,negation
674,QT50_103,"people can't afford paying almost £1,200 to fill their tank","people are paying almost £1,200 to fill their tank",1.0,1.0,negation
681,QT50_110,the Russians failed to roll into Kyiv within 72 hours,"the Russians believed, as well as many others, they would be able to roll into Kyiv within 72 hours",1.0,1.0,structural
686,QT50_115,we still are seeing really low numbers of refugees being allowed into the UK,we've got a minister saying that we're going to help Ukraine as much as possible,1.0,0.0,factive
687,QT50_116,there's been a huge outpouring of goodwill to rehome Ukrainian refugees and support them at their time of need,we're still seeing disastrous numbers of people actually being allowed into the UK,1.0,1.0,lexical
690,QT50_119,we can't fight Vladimir Putin with blankets,"As a Ukrainian MP said to me this week, it's all very well sending us blankets",1.0,0.0,negation
691,QT50_120,now Vladimir Putin may well be proved wrong,"all this time Vladimir Putin knew, well, pretty sure he thought he knew, he could go in and he could take more of the country",1.0,1.0,negation
692,QT50_121,the plane flying over Swedish airspace holding a nuclear bomb may not be an accurate story,one of the planes went in Swedish airspace a week ago was actually carrying a nuclear bomb,1.0,1.0,negation
694,QT50_123,AudienceMember 20220331QT31 doesn't know how to stop Vladimir Putin from controlling social media,surely we can do something about Vladimir Putin controlling social media,1.0,1.0,negation
695,QT50_124,Boris Johnston is never held accountable,Boris Johnston seems to always apologise and always say 'I'm sorry',1.0,1.0,negation
696,QT50_125,we would've been fined,Boris Johnston is never held accountable,1.0,1.0,lexical
697,QT50_126,yet politicians imposed those laws on everyone else,"politicians knew going to parties was fine, they were young, they were healthy, they were not worried",1.0,1.0,WK
699,QT50_128,the problems were happening right there and then,the management of the trust dismiss reported problems as these were problems that were happening in the past,1.0,1.0,factive
702,QT50_131,Boris Johnson didn't give a conference after the NATO summit,it is the perceived wisdom that when a Prime Minister comes back from such a conference they come to Parliament and make a statement,1.0,1.0,factive
703,QT50_132,it is hard to believe that there aren't other examples of similar risky things which result in children's deaths happening in the NHS,the reports of the children dying in the maternity services in the UK are isolated in the sense that it's the absolute worst example,1.0,1.0,lexical
705,QT50_134,"the polling shows that 80 per cent of the population actually think that wind farms onshore are a good thing, showing that onshore wind farms are popular",people say that onshore wind farms are not popular,1.0,1.0,negation
708,QT50_137,Greg Hands hasn't come up with something,Emily Thornberry was thinking that maybe Greg Hands would come up with something,1.0,1.0,negation
711,QT50_140,we're now apparently getting a nuclear power station every year,nuclear power wasn't seen to be safe,1.0,0.0,WK
715,QT50_144,AudienceMember 20220407QT06 can't afford to go green,AudienceMember 20220407QT06 wants to go green,1.0,1.0,negation
716,QT50_145,the Government has now gone back to the British Geological Survey and asked them to look again at fracking,fracking was something that Greg Hands himself said had no place really in the British economy,1.0,1.0,negation
717,QT50_146,"the package launched by the Chancellor of the Exchequer actually set aside £9 billion, a £200 discount on energy bills, £150 discount on council tax, additional funds to give the most vulnerable  assistance in paying their energy bills",the package launched by the Chancellor of the Exchequer doesn't deal with the rise in bills completely,1.0,1.0,WK
719,QT50_148,it also means diplomacy,that's going to mean sanctions,1.0,0.0,lexical
723,QT50_152,the heat goes straight out the window,it's all very well being able to heat up your home,1.0,0.0,lexical
724,QT50_153,disruptive energy technology doesn't have an expert,the innovation programmes that they put together were being run by experts,1.0,0.0,negation
727,QT50_156,people are having difficulties paying those high heating oil prices,there is a competitive market out there,1.0,0.0,WK
728,QT50_157,"talking does not work for somebody like Putin, he told us he wasn't going to invade, and he did",talking is always good,1.0,0.0,negation
733,QT50_162,you hear about these stories about politicians not paying tax,not trusting politicians is ridiculous,1.0,1.0,lexical
739,QT50_168,we're left in gridlock,things happen at short notice,1.0,0.0,lexical
741,QT50_170,the underlying point is a perfectly fair one,you're being slightly unfair to George Eustice,1.0,1.0,antonymy
742,QT50_171,in fact unemployment is less than four per cent,where people were predicting ten per cent unemployment,1.0,1.0,numeric
743,QT50_172,there is far more that the government could be doing to step in and help people than just lowering bus fares,the government would like to tell you that there is nothing more that they can do than lower bus fares,1.0,1.0,negation
747,QT50_176,we have so much more homelessness in this country than we did 12 years ago,the government have the ability to make lives better,1.0,1.0,WK
753,QT50_182,we didn't need as many lateral flow tests,"money was spent for things like huge numbers of lateral flow tests, which were needed",1.0,1.0,negation
754,QT50_183,we do need to probably move on from it,AudienceMember 20220505QT21 is not saying that we can just forgive and forget,1.0,0.0,lexical
755,QT50_184,a lot of people will struggle to move on,Louise Haigh understands the intention and the want to move on from this and focus on the issues that really matter,1.0,1.0,structural
757,QT50_186,the culture is changing much too slowly,the culture is changing,1.0,1.0,lexical
759,QT50_188,little Peter had something like 50 separate injuries on his body when he died,"Tracy Connelly, Stephen Barker and Jason Owen were cleared of murder",1.0,1.0,WK
760,QT50_189,"again, SAGE warned, the Lancet Journal warned, colleagues warned in the House of Commons","sadly, when the Prime Minister made his apology in the Commons last week, he made this claim about not knowing, about asymptomatic transmission",1.0,0.0,WK
761,QT50_190,"sadly, Louise Haigh does not think the government will learn their lessons",the government owe it to those bereaved families to prove that they will learn lessons,1.0,1.0,negation
762,QT50_191,xxx is why the decision was made,you do not make the decision,1.0,1.0,structural
764,QT50_193,nothing happens,xxx is what happens,1.0,1.0,negation
767,QT50_196,you could have the time to sit down and analyse data,people were trying to make decisions quickly,1.0,0.0,WK
770,QT50_199,at the same time Tracey Connelly's crimes are so heinous that it's hard to trust a parole board that may let her walk free,Jack Thorne probably would trust the parole board,1.0,1.0,lexical
772,QT50_201,xxx is why social care infection control and testing fund being brought back is not happening,the government care,1.0,1.0,WK
774,QT50_203,"actually, Robert Buckland doesn't care what you call it",you can call it a windfall tax,1.0,0.0,negation
776,QT50_205,the issue of trade borders between Northern Ireland and the United Kingdom has been ignored by the European Union,we've been talking about the issue of trade borders between Northern Ireland and the United Kingdom for over two years,1.0,1.0,antonymy
777,QT50_206,the Sue Gray Report hadn't come out,"the government acted with what was announced yesterday, with the Sue Gray Report",1.0,0.0,negation
784,QT50_213,huge cost being passed on to the consumer is something that is going to happen,people say get back into Stormont now and sort out cost of living,1.0,1.0,WK
785,QT50_214,we need to get the issue of Northern Ireland Protocol addressed,we don't get the Northern Ireland Protocol addressed,1.0,1.0,negation
787,QT50_216,Naomi Long thinks the government package of measures is too little too late in some instances,Naomi Long actually welcomes the package of measures that have been brought forward by the government,1.0,1.0,lexical
