ID	locution1	locution2	proposition1	proposition2	Corrected locution1	Corrected locution2	Corrected proposition1	Corrected Proposition 2	label	prep_needed																			
QT30_189	I'm not sitting here, absolutely not, as a representative of any political party at all	then I ran secondly as a Brexit Party candidate	Michelle Dewberry is not sitting here, absolutely not, as a representative of any political party at all	then Michelle Dewberry ran secondly as a Brexit Party candidate					contradiction	 False																			
QT50_331	"I don't know so far of those of you who have spoken if you're Labour voters or if you are in the ""don't know"" category"	I want to hear all views	"Fiona Bruce doesn't know so far of those of the people present who have spoken if you're Labour voters or if you 
are in the ""don't know"" category"	Fiona Bruce wants to hear all views					contradiction	 False																			
QT50_546	from all my years of going on Question Time I know that the two most unpopular things to suggest and to support are incest and private medicine	what about using more private medicine?	"from all my years of going on Question Time I know that the two most unpopular things to suggest and to support are 
incest and private medicine"	the NHS should be using more private medicine					contradiction	 True																			
US2016_56	"Last month in Ohio, you said you plead guilty to, quote, ""being kind of moderate and center."""	"I would ""take a back seat to no one when it comes to progressive values"""	CLINTON pleads guilty to being kind of moderate and center	CLINTON would take a back seat to no one when it comes to progressive values					contradiction	 True																			
QT50_674	We need to have a bit of vision	that's what's going on	we need to have a bit of vision	party factionalism leading to short termism is what's going on					non-contradiction	 True																			
QT50_94	there would be people around him who would think he's crazy	maybe he would press the button	there would be people around Putin who would think he's crazy	maybe Putin would press the button					non-contradiction	 True																			
QT30_98	it is more about getting close to people and resolving it	"Colleenâ€™s point of view are we going to fall into the same trap where it 
comes to rolling out the logistics of this"	logistics is more about getting close to people and resolving it	"Tom Kerridge can understand Colleenâ€™s point of view are we going to fall into the same trap where it comes to rolling 
out the logistics of this"	it is more about getting close to people and resolving it	"Colleen's point of view are we going to fall into the same trap where it
comes to rolling out the logistics of this"	"logistics is more about getting close to people
and resolving it"	"Tom Kerridge can understand Colleen's point of view are we going 
to fall into the same trap where it comes to rolling out the logistics 
of this"	non-contradiction	 False																			
QT30_44	Planning is still an impediment to the pace at which we want to move	we need to build build build	planning laws are still an impediment to the pace at which we want to move	we need to build, build, build					non-contradiction	 False																			
QT30_309	At that point, I was like hold on a second, again, we are being mocked in Parliament	"up until then, you know the Prime Minister had a really good kind of you know, 
what he said made sense"	at the point of the question, I was like hold on a second, again, we are being mocked in Parliament	up until the question, you know the Prime Minister had a really good kind of you know, what he said made sense					non-contradiction	 False																			
QT30_461	the Oxford AstraZeneca vaccine is 97% funded by us, the public, the taxpayers	"in the world trade organisation negotiation so far, our Government has blocked 
those sorts of moves"	the Oxford AstraZeneca vaccine is 97% funded by us, the public, the taxpayers	in the World Trade Organisation negotiation so far, our Government has blocked those sorts of moves					non-contradiction  	 False																			
QT30_469	Afghanistan had its own share of lies	We were always told that Afghanistan was the good war	Afghanistan was not the good war as it had its own share of lies	we were always told that Afghanistan was the good war					contradiction       	 True																			
QT50_283	You have to pay for them	Public services are the bedrock of a civilised society	you have to pay for public services	public services are the bedrock of a civilised society					contradiction	 True																			
QT50_257	It is not given to us	The point you say money given to us	the money is not given to us	the point AudienceMember 20220707QT34 says money given to us           					contradiction	 False																			
QT50_382	that kind of language is right	"In the first debate I threw away a flippant line where I said let's agree in the outset 
that we love Scotland, hate the Tories"	that kind of language is not right	in the first debate I threw away a flippant line where I said let's agree in the outset that we love Scotland, hate the Tories    					contradiction	 False																			
QT50_15	It is not at all	thinking it is a safe crossing	getting to Europe is not at all a save crossing	people are thinking that getting to Europe is a safe crossing					contradiction	 True																			


































































































































































































































































































































































































































































































































































































































































































































































































































































































